objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_g1,diff_i,diff_z
1237648720142401611,146.71421,-1.0413043,16.86573,15.28762,14.52209,14.11909,13.82587,18.80072,17.2084,16.43925,15.91987,15.60392,0.02122228,1.578108,0.7655354,0.4029989,0.2932224,GALAXY,-1.934988,-1.920773,-1.917164,-1.800784,-1.778052
1237650795146510627,146.74413,-0.65219064,20.90252,18.81306,17.48005,16.97422,16.63207,21.91268,19.99857,18.70143,18.19767,17.85782,0.2037833,2.089464,1.33301,0.5058308,0.342144,GALAXY,-1.01016,-1.185516,-1.221382,-1.223454,-1.225744
1237650795146445031,146.62857,-0.76513683,19.12518,17.31025,16.46868,16.04988,15.72728,20.51632,18.86351,17.95073,17.56407,17.21494,0.06465632,1.814936,0.8415699,0.4188004,0.3225946,GALAXY,-1.391132,-1.553261,-1.48205,-1.514194,-1.487653
1237648720142401670,146.63167,-0.98827781,19.21963,18.12533,17.6957,17.41701,17.34536,20.68625,19.73145,19.4413,19.03623,18.95628,0.05265425,1.094292,0.4296341,0.2786884,0.07164955,GALAXY,-1.466625,-1.606113,-1.745596,-1.619215,-1.610914
1237650795683512690,147.03779,-0.26659122,19.60107,18.41345,17.7377,17.43207,17.32257,21.96092,20.84575,20.08219,19.79949,19.53015,0.1232099,1.187624,0.6757469,0.3056335,0.1094971,GALAXY,-2.359842,-2.432301,-2.344486,-2.367418,-2.207579
1237648720142336237,146.57134,-0.95721148,18.26494,16.84608,16.10804,15.68389,15.37519,20.16866,18.99568,18.36834,17.83881,17.53795,0.06518305,1.418863,0.738039,0.4241505,0.308692,GALAXY,-1.903723,-2.149601,-2.260303,-2.154924,-2.162755
1237651799621959987,146.56561,-1.0847419,19.85165,24.69637,19.02714,23.66595,21.81111,20.47181,24.71873,19.91085,23.70397,21.87178,0.09755617,-4.844717,5.669226,-4.638809,1.854839,GALAXY,-0.6201591,-0.02236366,-0.8837109,-0.03802299,-0.06066895
1237651799621894422,146.30548,-1.1305512,21.09606,19.84137,22.78596,20.42714,20.90986,21.53908,20.38759,23.8624,20.97639,21.37556,0.1548131,1.25469,-2.944588,2.358818,-0.4827251,GALAXY,-0.4430256,-0.5462227,-1.076443,-0.5492535,-0.4656944
1237650795146379400,146.36033,-0.81665691,19.76476,18.04141,17.03566,16.62915,16.30304,20.54066,18.84303,17.83072,17.46791,17.11916,0.1274091,1.723351,1.005747,0.406517,0.3261051,GALAXY,-0.775898,-0.8016243,-0.7950573,-0.8387661,-0.8161144
1237648721216405657,147.24805,-0.035723556,19.92408,17.75023,16.76577,16.31368,15.98227,21.0404,19.02146,18.03189,17.63901,17.28919,0.08419658,2.173847,0.984457,0.4520931,0.3314085,GALAXY,-1.116318,-1.271233,-1.266117,-1.325329,-1.306914
1237648721216274720,146.92403,-0.10514302,23.7651,20.41189,18.60511,17.97406,17.66566,23.76242,21.48446,19.66513,19.17169,18.82085,0.3275724,3.353209,1.80678,0.6310501,0.308403,GALAXY,0.00267601,-1.072573,-1.060022,-1.197628,-1.155197
1237650795683446969,146.9201,-0.30646208,19.41834,18.03791,17.10992,16.70166,16.41131,20.86501,19.79343,18.81922,18.41781,18.10752,0.1314801,1.380424,0.9279976,0.4082584,0.2903519,GALAXY,-1.446667,-1.755512,-1.709305,-1.716152,-1.696211
