,ra,dec,type,u,g,r,i,size
0,185.083420052,15.0148455604,6,24.07673,23.30183,22.02227,21.31826,0.6489529
1,185.040564255,15.0104831244,3,22.82514,23.80073,22.31485,21.60784,1.057999
2,185.084051013,15.0777561212,3,21.82815,21.44513,20.79905,20.79898,1.699755
3,185.083819585,15.1677665381,6,24.71577,22.93645,24.34124,23.3463,-9999.0
4,185.040349488,15.0328909596,3,23.36123,22.70663,22.22933,21.84304,-9999.0
5,185.040559915,15.1865594227,6,25.54833,21.7643,20.30897,19.17608,0.7408493
6,185.003163312,15.0507275276,6,23.10736,23.06618,22.56425,22.34448,1.218857
7,185.003012301,15.1733492319,3,21.37295,20.46574,19.55855,19.1856,1.508568
8,185.083571539,15.0097511597,3,21.7677,23.96635,24.56881,23.37616,-9999.0
9,185.083639527,15.0052255324,3,17.0364,19.61851,20.86963,25.81359,-9999.0
10,185.082977179,15.0039888003,3,20.58586,20.97514,22.9649,26.0933,0.03722677
11,185.124480289,15.0682020404,6,20.75572,19.76141,19.44299,19.38532,0.7472621
12,185.124488496,15.0682033944,6,20.71635,19.75131,19.4163,19.36093,6.601557
13,185.083717751,15.1830025388,6,21.85649,19.28577,18.13546,17.6748,0.731617
14,185.084046111,15.0656625624,6,20.58062,19.70946,19.44549,19.34867,0.7935101
15,185.084053376,15.0656625308,6,20.51167,19.69,19.42142,19.32619,8.149798
16,185.083707643,15.1830031474,6,21.77857,19.28663,18.13877,17.67362,0.7328093
17,185.00255679,15.1990694024,6,20.94635,18.4917,17.06518,16.39022,0.6823586
18,185.00255679,15.1990694024,6,20.94669,18.49215,17.06533,16.39035,0.6823586
19,185.002566707,15.1990662043,6,20.90245,18.49307,17.06329,16.39084,0.6817196
20,185.040573647,15.053882154,6,23.6943,24.98883,24.71098,21.19069,1.230083
21,185.181331528,15.0123226143,6,24.16637,22.80805,24.45415,24.60546,0.9391253
22,185.181358235,15.1663667024,3,22.49218,20.89868,19.59129,19.14513,1.173541
23,185.180660671,15.094866792,3,24.9417,22.52055,23.65039,24.85263,0.05273636
24,185.180516162,15.1839438196,3,26.54793,20.98925,20.27504,20.12152,1.800273
25,185.180516162,15.1839438196,3,26.20615,20.98925,20.27504,20.12152,1.800273
26,185.181349617,15.0274271817,3,24.30834,24.54776,21.74766,21.05238,1.535517
27,185.125575308,15.1349560995,3,23.34069,21.54946,20.0889,19.44574,2.330823
