objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_g1,diff_i,diff_z
1237648720142532813,146.90229,-0.98491332,19.64289,19.31131,19.25328,19.15353,19.13345,19.71604,19.37595,19.32818,19.24847,19.21259,0.6524171,0.331583,0.05802727,0.09975052,0.02007675,QSO,-0.07315063,-0.06464767,-0.07490349,-0.09494209,-0.07913589
1237658425156829371,142.45853,6.6464061,19.39569,19.34811,19.16626,18.93152,19.06013,19.40327,19.36566,19.18335,18.94222,19.08077,1.537123,0.047575,0.1818466,0.2347431,-0.1286125,QSO,-0.00758934,-0.01754951,-0.01708984,-0.01070023,-0.0206356
1237660413189095710,143.1577,8.1753627,19.10362,18.88904,18.70672,18.58508,18.61328,19.11102,18.88857,18.70458,18.57886,18.62583,1.467101,0.2145824,0.1823177,0.121645,-0.02820206,QSO,-0.007396698,0.0004730225,0.002147675,0.006217957,-0.01254845
1237660412651962520,142.49264,7.8009445,19.8882,19.75146,19.52941,19.65,19.5247,19.88709,19.75292,19.53512,19.67052,19.50256,1.014217,0.1367455,0.2220516,-0.1205902,0.1253014,QSO,0.001117706,-0.001457214,-0.005716324,-0.02052689,0.0221386
1237658493336944662,142.64367,7.9176977,18.45897,18.40651,18.15901,17.7713,17.75986,18.55725,18.55002,18.40316,18.01008,18.031,0.2156028,0.05246162,0.2474976,0.3877087,0.01144409,QSO,-0.09828186,-0.1435146,-0.2441502,-0.2387791,-0.2711372
1237660412652028041,142.70159,7.6611439,19.17675,19.0834,19.09453,18.97973,18.91319,19.20649,19.09411,19.11194,18.99083,18.90642,1.998677,0.09334564,-0.01112556,0.1147976,0.06654167,QSO,-0.02974701,-0.01071167,-0.017416,-0.01110268,0.006763458
1237658492800270623,143.12511,7.6647712,19.76518,19.24441,18.40526,17.98242,17.65546,20.22012,19.84348,19.14163,18.79655,18.40526,0.2762594,0.520771,0.8391438,0.4228401,0.3269672,QSO,-0.4549446,-0.5990677,-0.7363644,-0.8141251,-0.7498055
1237658493337207158,143.31239,8.040456,18.48807,17.8661,17.28214,16.86695,16.72269,19.54682,19.16323,18.73668,18.36598,18.24418,0.1652173,0.6219692,0.5839596,0.4151955,0.1442528,QSO,-1.058746,-1.297132,-1.454542,-1.499031,-1.521488
1237658492800270684,143.23672,7.7034097,18.83368,18.32315,17.94582,17.97624,17.82108,18.86196,18.32356,17.98804,18.00655,17.85295,1.003236,0.5105247,0.3773327,-0.03042221,0.1551609,QSO,-0.02828598,-0.00041008,-0.04221535,-0.03030777,-0.0318718
1237660412652421339,143.59394,7.9420215,18.95949,18.93708,18.8539,18.71062,18.55154,18.97486,18.9566,18.85466,18.70471,18.55805,2.035459,0.02240753,0.08318329,0.1432781,0.1590805,QSO,-0.01537323,-0.01952171,-0.0007629395,0.005914688,-0.006509781
1237660412652421123,143.5535,7.7606567,18.51467,18.45651,18.49017,18.51702,18.02448,18.53394,18.47515,18.58719,18.61339,18.11619,0.3537014,0.0581665,-0.03365898,-0.02684975,0.4925308,QSO,-0.01926804,-0.01863861,-0.09702301,-0.09637642,-0.09170723
1237660412652421284,143.57624,7.7667605,19.3381,19.24609,19.2935,19.09719,19.06949,19.34151,19.24597,19.2863,19.08268,19.08131,1.925538,0.09201431,-0.04741287,0.1963081,0.02770805,QSO,-0.00340271,0.000120163,0.007204056,0.01451302,-0.01182175
1237658493337469159,143.84476,8.1107048,20.24835,19.85066,19.86776,19.64955,19.56096,20.27344,19.86862,19.90339,19.67859,19.60945,1.739093,0.3976955,-0.0171032,0.2182121,0.08858681,QSO,-0.02508736,-0.01796341,-0.03563118,-0.0290432,-0.04848862
1237660413189619797,144.31486,8.3855237,18.75072,18.75235,18.46522,18.45527,18.62875,18.75632,18.76665,18.48061,18.45861,18.62809,1.229269,-0.001634598,0.2871304,0.009952545,-0.1734867,QSO,-0.005601883,-0.01430511,-0.0153904,-0.00334549,0.00066185
1237658492800663647,144.03494,7.7022529,19.47845,19.10326,18.94568,18.91061,18.80966,19.49509,19.11024,18.95904,18.92567,18.81561,0.7927804,0.3751831,0.1575851,0.03506851,0.1009502,QSO,-0.01664162,-0.006980896,-0.01336098,-0.01505852,-0.005954742
1237658493874536511,144.34743,8.4702788,18.58646,18.49194,18.13661,18.01185,17.46726,18.74786,18.71601,18.45489,18.37585,17.76028,0.2878539,0.09452057,0.3553371,0.1247597,0.5445824,QSO,-0.161396,-0.2240677,-0.3182812,-0.3640003,-0.2930183
1237658493337665569,144.33358,8.1921944,18.86628,18.72768,18.7122,18.61591,18.54905,18.87134,18.75765,18.74057,18.65094,18.57977,0.7786805,0.1386032,0.01547813,0.09629631,0.0668602,QSO,-0.005060196,-0.02997398,-0.0283699,-0.03503418,-0.03072739
1237660412652814425,144.43526,7.9616036,19.63783,19.12622,18.62572,18.30113,18.23695,19.64931,19.17392,18.7356,18.40803,18.3406,0.2130674,0.5116119,0.5004997,0.3245926,0.06417656,QSO,-0.01148224,-0.04769516,-0.1098766,-0.1068993,-0.1036453
1237657628436398366,128.10864,34.57064,19.66735,19.47768,19.23854,19.30547,19.31183,19.683,19.48787,19.2464,19.30197,19.31,0.9980088,0.1896744,0.2391319,-0.06692886,-0.006361008,QSO,-0.01564789,-0.01019096,-0.007852554,0.003505707,0.001838684
1237657628436594922,128.61672,34.754444,19.03353,19.07027,19.02577,18.73561,18.68857,19.02215,19.08263,19.02152,18.74244,18.69613,1.743623,-0.03673744,0.04449844,0.2901535,0.04704094,QSO,0.01138306,-0.01236725,0.00425148,-0.006828308,-0.007556915
1237657628436725986,128.91999,35.001702,19.59108,19.20107,18.96897,18.96417,18.7436,19.59959,19.27031,19.04599,19.05297,18.82933,0.8670792,0.3900108,0.2320995,0.004800797,0.220562,QSO,-0.008508682,-0.06924438,-0.07702446,-0.08880043,-0.0857296
1237657628436791615,129.10592,35.12136,19.95946,19.9398,19.94426,20.07128,19.92418,19.9471,19.97568,19.98467,20.11946,20.00066,0.926294,0.01966476,-0.004459381,-0.1270256,0.1471043,QSO,0.01236343,-0.03588486,-0.04041672,-0.048172,-0.07647705
1237657628436136041,127.68903,34.09226,16.8727,16.42131,16.03001,15.58737,15.42211,16.93136,16.81298,16.67067,16.23599,16.15675,0.06234368,0.4513836,0.391304,0.4426413,0.1652622,QSO,-0.05866051,-0.3916683,-0.6406593,-0.6486177,-0.7346392
1237658206102946073,127.83201,34.437901,19.12139,19.00914,18.92458,18.87838,18.68654,19.09258,19.01987,18.93348,18.86787,18.6932,2.104577,0.1122417,0.08456612,0.04620171,0.1918354,QSO,0.02880096,-0.01072502,-0.008905411,0.01050377,-0.006660461
1237657628973138042,127.71028,34.649137,18.35893,18.24873,18.24162,17.98736,18.06799,18.34844,18.26815,18.2479,17.99495,18.06729,1.76405,0.1102028,0.007102966,0.254261,-0.08062744,QSO,0.01048851,-0.01942253,-0.006275177,-0.007587433,0.0007019043
