objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_g1,diff_i,diff_z
1237648721216405598,147.32107,-0.0065757249,18.86762,18.50072,18.7199,18.94447,19.19385,18.8806,18.50294,18.718,18.94574,19.18175,-0.0002599027,0.3669014,-0.2191849,-0.2245693,-0.2493744,STAR,-0.01297951,-0.002216339,0.001907349,-0.001266479,0.0120945
1237650796220383236,146.94386,0.039168534,17.68624,16.54753,16.12399,15.95606,15.9255,17.7029,16.54422,16.129,15.94826,15.93773,0.0001605878,1.138712,0.4235363,0.1679354,0.03055763,STAR,-0.01666451,0.003307343,-0.005010605,0.007796288,-0.01223469
1237648721216274522,147.01792,-0.1272663,18.16132,17.8865,18.06075,18.24939,18.44918,18.16998,17.89519,18.06189,18.25765,18.4628,-6.583336E-05,0.2748165,-0.1742496,-0.1886368,-0.1997929,STAR,-0.00866127,-0.008691788,-0.00113678,-0.008266449,-0.01361656
1237648721216340121,147.09176,-0.07734624,19.97413,19.69192,20.04545,20.3107,20.94169,19.9927,19.71029,20.06291,20.35608,20.96653,-0.0002587513,0.2822075,-0.3535252,-0.2652531,-0.6309948,STAR,-0.01857185,-0.01836777,-0.01746368,-0.04538155,-0.0248394
1237650795683643399,147.25534,-0.31933693,16.56119,16.21108,16.43218,16.65409,16.89941,16.56311,16.22417,16.43197,16.65523,16.89924,-0.0002443073,0.3501091,-0.2210999,-0.2219143,-0.2453156,STAR,-0.001918793,-0.01309204,0.0002040863,-0.001132965,0.0001678467
1237650795146576079,146.91375,-0.64448137,18.98069,17.74266,17.84431,17.95918,18.0857,18.9443,17.76643,17.84966,17.94437,18.07909,0.0006005246,1.238028,-0.1016483,-0.1148643,-0.1265182,STAR,0.0363903,-0.02376366,-0.005348206,0.01480865,0.006605148
1237660412115026591,142.4702,7.3290536,23.55888,21.61597,20.35268,19.60846,19.28215,23.5492,21.62046,20.38007,19.61683,19.27889,-5.764096E-06,1.942904,1.263294,0.744215,0.3263092,STAR,0.009674072,-0.004491806,-0.02739334,-0.008365631,0.003263474
1237658492800008500,142.5763,7.567981,23.43262,22.05677,20.57329,18.67027,17.55839,23.2928,22.03599,20.56817,18.67032,17.54995,0.0001558869,1.375845,1.483482,1.903015,1.111885,STAR,0.1398201,0.02078056,0.005119324,-4.768372E-05,0.00843811
1237658492262940948,142.22503,7.0816702,25.15824,23.04129,21.28607,19.59991,18.89458,25.07783,23.04282,21.31966,19.62177,18.90942,-7.298838E-05,2.116949,1.755217,1.686161,0.7053337,STAR,0.08040428,-0.001529694,-0.03359413,-0.02186012,-0.01484871
1237658425156698427,142.20763,6.7741556,25.65958,22.49809,21.05033,18.91663,17.72755,25.60672,22.47717,21.04534,18.90535,17.73294,7.559144E-05,3.161489,1.447754,2.133705,1.189075,STAR,0.05285645,0.02091789,0.004997253,0.01127815,-0.00538826
1237658492262940853,142.22765,6.9784222,19.46239,19.03347,19.18206,19.39942,19.58302,19.4337,19.03509,19.18338,19.40418,19.5796,0.0002179074,0.4289207,-0.148592,-0.2173595,-0.1836014,STAR,0.02869415,-0.001615524,-0.001317978,-0.00475502,0.003421783
1237660412114829931,142.02502,7.1837643,23.78289,22.16364,20.46933,18.41942,17.25838,23.78679,22.1504,20.45682,18.39736,17.24689,0.0001099594,1.619247,1.694317,2.049906,1.161041,STAR,-0.003902435,0.01324844,0.0125103,0.02206612,0.01148796
1237660412114829947,142.02117,7.2674667,23.71423,22.92417,21.29077,19.78409,18.72222,23.60341,22.9151,21.28802,19.76171,18.70264,0.0002404395,0.7900639,1.6334,1.506676,1.061871,STAR,0.1108246,0.00907135,0.002754211,0.02238655,0.01958275
1237660413188768502,142.3858,8.173846,23.64158,22.01304,20.76673,20.27516,20.08972,23.46743,22.03843,20.75633,20.27103,20.11147,0.0002187646,1.62854,1.246311,0.4915676,0.1854401,STAR,0.1741543,-0.025383,0.01040459,0.00412941,-0.02174568
1237660413188964390,142.72885,8.2697361,17.45588,16.66153,16.3737,16.25734,16.25615,17.44437,16.66206,16.37001,16.25284,16.26042,7.172913E-05,0.7943497,0.2878323,0.1163616,0.001182556,STAR,0.01150513,-0.0005321503,0.003684998,0.004497528,-0.004262924
1237660413188965049,142.85495,8.2457219,23.56987,22.13548,19.68298,19.30122,19.03355,23.53361,22.14478,19.69221,19.313,19.04441,0.0005510352,1.434397,2.452494,0.3817616,0.2676735,STAR,0.03626633,-0.009300232,-0.009231567,-0.01177788,-0.01086044
1237660413188899094,142.70452,8.1699979,24.59007,22.2579,20.66701,19.60196,18.99101,24.55593,22.21942,20.6492,19.55686,18.96694,-2.620409E-05,2.332174,1.590889,1.065042,0.6109505,STAR,0.03414345,0.03848076,0.01780701,0.04510307,0.02407837
1237658493336617907,142.0039,7.9540698,23.20226,23.10386,21.22346,19.1263,17.87476,23.15308,23.09236,21.22252,19.13061,17.86377,9.563798E-05,0.09840012,1.880402,2.097164,1.251541,STAR,0.04918861,0.01150322,0.0009479523,-0.004312515,0.01099014
1237658493336814149,142.32977,8.0102627,24.16703,22.92057,21.09101,19.01727,17.88615,24.00173,22.98401,21.13252,19.07699,17.933,4.124448E-05,1.246462,1.829559,2.07374,1.131119,STAR,0.1653004,-0.06343651,-0.04151344,-0.05971909,-0.0468502
1237661063876575286,143.28044,8.4012627,17.36351,16.47735,16.16814,16.0646,16.03284,17.37185,16.51964,16.15585,16.05716,16.02547,0.000486922,0.8861561,0.3092175,0.1035385,0.03176308,STAR,-0.008337021,-0.04228401,0.01228714,0.007440567,0.00736618
1237658493336813857,142.45945,7.9502233,23.2951,22.26068,20.93884,20.09184,19.88756,23.04614,22.31563,20.99278,20.13013,19.92299,-8.905336E-05,1.034414,1.32184,0.847002,0.204277,STAR,0.2489567,-0.05494499,-0.05393791,-0.0382843,-0.03542328
1237660412651897136,142.45936,7.6583356,22.96625,20.88051,18.83202,17.83946,17.26008,22.85495,20.95031,18.83279,17.84527,17.26066,0.0003050269,2.085737,2.048496,0.9925556,0.5793781,STAR,0.1113052,-0.06979179,-0.0007743835,-0.005807877,-0.000579834
1237660413189292309,143.50234,8.179232,22.98599,21.03149,20.42523,18.43622,17.79114,23.0807,21.272,20.80145,18.69364,18.03664,-4.187922E-06,1.954508,0.6062603,1.98901,0.6450768,STAR,-0.09470177,-0.2405148,-0.3762283,-0.2574234,-0.2454987
1237658493336879357,142.58359,8.0162012,24.61762,22.11207,19.78436,18.93397,18.50609,24.53373,22.10363,19.77287,18.93552,18.4964,7.376287E-05,2.505548,2.327717,0.8503838,0.4278774,STAR,0.0838871,0.008443832,0.01148605,-0.001544952,0.009695053
1237658493336879719,142.61198,7.9082672,24.2119,22.21587,20.88221,19.38461,18.96765,23.45668,22.39177,21.19254,19.5251,19.13918,7.286842E-05,1.996031,1.33366,1.497604,0.4169579,STAR,0.7552242,-0.1758976,-0.3103275,-0.1404953,-0.171526
1237661063876707302,143.59259,8.484257,23.62019,24.81686,23.49641,20.61007,18.92125,23.31364,24.7413,23.53385,20.63622,18.93899,0.001040053,-1.196674,1.320454,2.886335,1.688826,STAR,0.3065472,0.07556343,-0.03744316,-0.02614212,-0.01773643
1237660413189292294,143.58126,8.3106772,23.66399,22.07328,20.75019,20.00116,19.6298,23.59538,22.0621,20.72792,19.96911,19.62646,-6.066643E-05,1.590717,1.323084,0.7490349,0.3713627,STAR,0.06861305,0.01117706,0.0222702,0.03204346,0.003330231
1237660412652224537,143.11361,7.8399927,18.70411,17.98469,17.49399,17.23461,17.28069,18.84433,18.06031,17.60613,17.42359,17.40549,0.0003670454,0.7194176,0.4907017,0.2593861,-0.04608536,STAR,-0.1402206,-0.07562065,-0.1121349,-0.1889801,-0.1247978
1237658493337142115,143.11005,8.0927468,25.49531,23.55465,21.24844,19.05286,17.77987,24.94861,23.52967,21.23174,19.04916,17.78173,2.539897E-05,1.940657,2.30621,2.195581,1.272989,STAR,0.5466976,0.02498436,0.01670074,0.003700256,-0.001861572
1237660412652159601,143.03291,7.6945594,24.61587,22.25873,19.78033,18.74148,18.24043,24.31275,22.32622,19.76603,18.74573,18.24675,0.0001096437,2.35714,2.478399,1.038851,0.5010471,STAR,0.3031235,-0.06748581,0.01430702,-0.00425148,-0.006315231
1237660412652355647,143.42246,7.8467538,17.15941,16.26149,15.99247,15.91802,15.9043,17.11981,16.27453,15.98457,15.9158,15.90181,0.0005070917,0.8979244,0.2690153,0.07445717,0.01371384,STAR,0.03960419,-0.01304436,0.007898331,0.002210617,0.002491951
1237660412652355734,143.45709,7.8137387,20.366,17.93538,16.41146,16.20975,15.9084,20.37695,17.93365,16.47988,16.21381,15.91575,5.140958E-05,2.430614,1.52392,0.2017174,0.3013496,STAR,-0.01095581,0.00173378,-0.06841469,-0.004068375,-0.007354736
1237658493337141459,143.14497,7.9896663,19.65292,19.55917,19.9417,20.19864,20.3978,19.66871,19.55889,19.93699,20.20587,20.38844,-0.0001533869,0.09375572,-0.3825359,-0.2569313,-0.1991673,STAR,-0.01578903,0.0002822876,0.004718781,-0.007236481,0.009361267
1237660412652421149,143.61889,7.8693771,24.67428,25.68577,21.30324,23.6847,22.90272,24.52585,25.72808,21.38647,23.88343,23.0822,0.0040333,-1.011488,4.382528,-2.381458,0.7819767,STAR,0.1484261,-0.04231453,-0.08322716,-0.1987343,-0.1794815
1237660412652421187,143.61433,7.9317157,17.97116,20.39719,24.68468,19.62653,18.32006,18.01505,20.53062,24.68484,18.51651,18.52373,-1.731515E-05,-2.426033,-4.287493,5.058151,1.306465,STAR,-0.04389,-0.1334324,-0.000164032,1.11002,-0.203661
1237658492800402495,143.54919,7.700348,24.22762,23.38891,23.17815,20.10628,18.53487,23.8265,23.43062,23.16351,20.1131,18.51002,0.0001090563,0.838707,0.2107639,3.071871,1.571407,STAR,0.4011211,-0.04170418,0.01463509,-0.006822586,0.02484703
1237658493337534597,144.01534,8.2002405,19.71093,19.73847,20.16503,20.46466,20.71067,19.70502,19.75184,20.16829,20.46299,20.67558,-0.0005181094,-0.02753639,-0.4265614,-0.2996311,-0.2460117,STAR,0.005916595,-0.01337433,-0.003263474,0.001670837,0.03509712
1237660412652552242,143.87119,7.9558191,20.89114,18.41487,24.70101,18.86323,22.77257,21.18216,18.7676,24.70101,18.48364,22.77276,-6.522965E-05,2.476273,-6.286148,5.837788,-3.909344,STAR,-0.2910213,-0.3527374,0,0.3795815,-0.0001888275
1237660412652486799,143.7025,7.9403155,19.53925,19.75348,20.19791,20.46023,21.77775,19.55691,19.75493,20.19335,20.45255,21.58615,-0.0001878341,-0.2142315,-0.4444275,-0.2623177,-1.317526,STAR,-0.01766205,-0.001451492,0.004560471,0.007680893,0.1916027
1237658493337600219,144.1279,8.1121433,19.35419,18.24066,17.86166,17.74322,17.70296,19.35412,18.25457,17.8645,17.75373,17.70636,0.0005170761,1.113535,0.378994,0.1184444,0.04026031,STAR,7.247925E-05,-0.01391029,-0.002836227,-0.01051521,-0.003404617
1237658492800598227,143.98932,7.7596022,21.3701,19.47342,18.86211,18.63836,18.61806,21.3202,19.45214,18.83818,18.61739,18.59038,0.0001156268,1.896681,0.6113071,0.2237549,0.02029991,STAR,0.04989815,0.02128029,0.02393341,0.02096558,0.02767944
1237658492800663588,144.04504,7.7839367,17.60616,17.25475,17.27662,17.37065,17.52222,17.60144,17.25486,17.28405,17.38134,17.53055,2.517505E-05,0.3514061,-0.02186394,-0.09403801,-0.1515636,STAR,0.004718781,-0.0001125336,-0.00743866,-0.01068497,-0.008329391
1237658493337731074,144.42052,8.2225035,15.22765,15.03272,15.13849,15.21016,15.31119,15.22655,15.05157,15.14462,15.22788,15.31472,5.444912E-05,0.1949234,-0.1057644,-0.07167339,-0.1010256,STAR,0.001094818,-0.01885033,-0.006131172,-0.01771545,-0.003539085
1237660413189620050,144.34417,8.4327917,24.1524,21.57929,20.00349,18.03463,16.93539,24.02917,21.59617,20.01482,18.0356,16.93845,0.0001699219,2.573101,1.5758,1.968861,1.099247,STAR,0.1232281,-0.01687622,-0.01132774,-0.0009651184,-0.003059387
