# R11ceph.dat
#
# This is a processed version of the R11 cepheid data
# (Riess et al. 2011 [R11], ApJ, 730, 119, Table 2)
#
# Columns:
#     id: the ID of the cepheid
#    gal: the NGC number of the host galaxy
#      m: mags m are computed using m = F160W - 0.41*(V_I)
#   merr: mag errs are just those in the F160W mags
#         (errors in V-I were not given in R11)
#      P: period P is in days (errors in the Period were not given)
# logO_H: this is actually log[O/H], not 12 + log[O/H] as in R11
#   bias: this is the crowding bias *already applied* by R11
#
# Notes:
# - cepheid with id 102255 was excluded since its mag error is 99.0
#
#  id  gal     m       merr       P       logO_H    bias
27185 4536 24.512300 0.310000 13.000000 -3.460000 0.130000
42353 4536 25.990700 0.740000 13.070000 -3.030000 0.370000
50718 4536 24.149200 0.420000 13.730000 -3.360000 0.280000
72331 4536 24.475100 0.440000 13.910000 -3.190000 0.220000
65694 4536 24.858200 0.380000 14.380000 -3.100000 0.390000
58805 4536 22.946700 0.350000 14.440000 -3.220000 0.260000
53703 4536 25.084800 0.470000 14.530000 -3.280000 0.270000
70938 4536 25.547600 0.580000 14.620000 -3.060000 0.300000
40098 4536 24.730500 0.520000 14.640000 -3.280000 0.630000
48539 4536 23.161000 0.310000 15.030000 -3.110000 0.290000
65695 4536 24.067700 0.410000 15.160000 -3.110000 0.260000
66974 4536 22.966700 0.440000 15.650000 -3.210000 0.560000
67328 4536 23.643800 0.320000 16.240000 -3.130000 0.240000
71258 4536 23.673800 0.270000 17.020000 -3.050000 0.220000
68306 4536 24.461700 0.190000 17.160000 -3.030000 0.050000
45164 4536 24.338700 0.560000 17.310000 -3.310000 0.430000
50050 4536 23.145400 0.260000 17.560000 -3.250000 0.290000
64661 4536 23.904600 0.300000 17.650000 -3.080000 0.190000
40923 4536 23.515400 0.240000 18.160000 -3.470000 0.010000
66029 4536 24.445300 0.240000 18.390000 -3.330000 0.130000
75137 4536 24.081000 0.220000 18.670000 -3.370000 0.050000
35584 4536 24.994000 0.360000 18.890000 -3.420000 0.160000
60991 4536 24.399100 0.470000 19.010000 -3.230000 0.440000
74017 4536 24.871500 0.500000 19.310000 -3.090000 0.370000
33174 4536 24.305300 0.250000 19.470000 -3.450000 0.130000
38963 4536 23.953600 0.260000 19.600000 -3.430000 0.110000
37037 4536 24.021500 0.250000 19.650000 -3.380000 0.210000
65214 4536 23.822500 0.230000 19.690000 -3.390000 0.110000
65080 4536 24.448400 0.250000 19.980000 -2.990000 0.160000
69821 4536 24.052800 0.210000 20.410000 -3.350000 0.060000
